"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Template__c","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
"a0O1N00000APRrTUAX","false","QTY","USD","a0h1N0000064LxWQAU","Left",,,,"10.0","false","SBQQ__Quantity__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All","009DDC",,,,"false","10.0"
"a0O1N00000APRruUAH","false","PART #","USD","a0h1N0000064LxaQAE","Center",,,,"20.0","false","SBQQ__ProductCode__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrUUAX","false","PART #","USD","a0h1N0000064LxWQAU","Left",,,,"5.0","false","SBQQ__ProductCode__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All","009DDC",,,,"false","10.0"
"a0O1N00000APRrvUAH","false","DESCRIPTION","USD","a0h1N0000064LxaQAE","Left",,,,"30.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","40.0"
"a0O1N00000APRrVUAX","false","DESCRIPTION","USD","a0h1N0000064LxWQAU","Left",,,,"30.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All","009DDC",,,,"false","50.0"
"a0O1N00000APRrwUAH","false","UNIT PRICE","USD","a0h1N0000064LxaQAE","Center",,,"Print_Line_Item_Prices__c","40.0","false","SBQQ__ListPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrWUAX","false","UNIT PRICE","USD","a0h1N0000064LxWQAU","Right",,,,"40.0","false","SBQQ__ListPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All","009DDC",,,,"false","10.0"
"a0O1N00000APRrxUAH","false","DISC (%)","USD","a0h1N0000064LxaQAE","Center",,,"Print_Discount__c","50.0","false","Additional_Discount_Calc__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrXUAX","false","EXTENDED","USD","a0h1N0000064LxWQAU","Right",,,,"60.0","false","SBQQ__NetTotal__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All","009DDC",,,,"false","10.0"
"a0O1N00000APRryUAH","false","EXTENDED","USD","a0h1N0000064LxaQAE","Center",,,"Print_Line_Item_Prices__c","65.0","false","SBQQ__NetTotal__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrYUAX","false","Item No.","USD","a0h1N0000064LxWQAU","Center",,,,"1.0","false","SBQQ__Number__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrzUAH","false","NAME","USD","a0h1N0000064LxaQAE","Center",,,,"1.0","false","SBQQ__ProductName__c",,,"Normal",,"false","3.0","3.0","false","a0u1N00000bImQbQAK","false",,,,,"All",,,,,"false","20.0"
"a0O1N00000APRrZUAX","false","QTY","USD","a0h1N0000064LxXQAU","Left",,,,"10.0","false","SBQQ__Quantity__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","5.0"
