"Id","IsDeleted","CurrencyIsoCode","SBQQ__Rule__c","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Type__c","SBQQ__ValueField__c","SBQQ__ValueObject__c","SBQQ__ValueAttribute__c","SBQQ__ParentRuleIsActive__c"
"a0Z1N00000Eo4blUAB","false","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURLrQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bLUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLJQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bmUAB","false","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURKqQAP","false","Show",,,,"true"
"a0Z1N00000Eo4bMUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKsQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bnUAB","false","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURMIQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4bNUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLiQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4boUAB","false","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURLfQAP","false","Show",,,,"true"
"a0Z1N00000Eo4bOUAR","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURMBQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bpUAB","false","USD","a0c1N00000MVcZtQAL",,,,"01t1N00000EURLrQAP","false","Show",,,,"true"
"a0Z1N00000Eo4bPUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURMWQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bqUAB","false","USD","a0c1N00000MVcZsQAL",,,,"01t1N00000EURMIQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4bQUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLUQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4brUAB","false","USD","a0c1N00000MVcZvQAL",,,,"01t1N00000EURLlQAP","false","Add",,,,"true"
"a0Z1N00000Eo4bRUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKrQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bsUAB","false","USD","a0c1N00000MVcZuQAL",,,,"01t1N00000EURLlQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bSUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bTUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLTQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bUUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLVQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bVUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKsQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bWUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLiQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bXUAR","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURMBQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bYUAR","false","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bZUAR","false","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
